"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/18/2020","AQS","410030013","3","4.3","ug/m3 LC","18","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/19/2020","AQS","410030013","3","6.9","ug/m3 LC","29","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/20/2020","AQS","410030013","3","8.5","ug/m3 LC","35","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/21/2020","AQS","410030013","3","8.8","ug/m3 LC","37","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/22/2020","AQS","410030013","3","6","ug/m3 LC","25","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/23/2020","AQS","410030013","3","4.8","ug/m3 LC","20","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/24/2020","AQS","410030013","3","6.7","ug/m3 LC","28","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/25/2020","AQS","410030013","3","8","ug/m3 LC","33","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/26/2020","AQS","410030013","3","6.7","ug/m3 LC","28","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/27/2020","AQS","410030013","3","6.7","ug/m3 LC","28","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/28/2020","AQS","410030013","3","5.3","ug/m3 LC","22","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
"02/29/2020","AQS","410030013","3","3","ug/m3 LC","13","Corvallis Circle Blvd. at FD #3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","18700","Corvallis, OR","41","Oregon","003","Benton","44.5884","-123.2673"
